,ano_x,tipo_eleicao,sigla_uf,id_municipio,id_municipio_tse,id_candidato_bd,sequencial_candidato,numero,nome,nome_urna,numero_partido,sigla_partido,cargo,situacao,ocupacao,data_nascimento,idade,genero,instrucao,estado_civil,nacionalidade,sigla_uf_nascimento,municipio_nascimento,raca,resultado,fund_outro,fund_part,fund_esp
439,2020,eleicao ordinaria,BA,2900801,33154,688392.0,50001182091,33123,Marcos Silva Dos Santos,Neto Do Itaitinga,33,PMN,vereador,deferido,agricultor,1980-08-31,40,masculino,ensino medio completo,casado(a),brasileira,BA,Caravelas,indigena,suplente,270.0,,
440,2020,eleicao ordinaria,MS,5002407,90557,692007.0,120001258962,45123,Alecio Soares Martins,Professor Alecio,45,PSDB,vereador,deferido,vereador,1974-02-15,47,masculino,ensino superior completo,solteiro(a),brasileira,MS,Caarapó,indigena,suplente,392.3,,
441,2020,eleicao ordinaria,AM,1302306,2496,692189.0,40001249671,11112,Raimundo Garcia Batista,João Branco,11,PP,vereador,deferido,professor de ensino fundamental,1976-07-06,44,masculino,ensino medio completo,solteiro(a),brasileira,AM,Jutaí,indigena,suplente,342.0,,
442,2020,eleicao ordinaria,MA,2105203,8010,693316.0,100001106728,25333,Jose Raimundo Vieira Neto,Raimundo Bega,25,DEM,vereador,deferido,outros,1979-08-30,41,masculino,ensino fundamental incompleto,casado(a),brasileira,MA,Igarapé Grande,indigena,eleito por qp,1802.0,,
443,2020,eleicao ordinaria,RO,1100338,434,695432.0,220000636211,13350,João Luiz Oro Waram,João Luiz Oro,13,PT,vereador,deferido,outros,1978-01-05,43,masculino,ensino fundamental completo,solteiro(a),brasileira,RO,Guajará-Mirim,indigena,suplente,,,250.0
444,2020,eleicao ordinaria,MT,5102702,91936,697003.0,110000872817,40222,Pablo Sage Jr Kamaiura,Pablo Kamaiura,40,PSB,vereador,deferido,outros,1973-08-05,47,masculino,ensino fundamental completo,casado(a),brasileira,MT,Paranatinga,indigena,suplente,16307.5,,
445,2020,eleicao ordinaria,PR,4106902,75353,697315.0,160001202839,13113,Ivan Carlos Pinheiro,Ivan Carlos Pinheiro,13,PT,vereador,deferido,servidor publico federal,1977-06-16,43,masculino,ensino superior incompleto,casado(a),brasileira,PR,Curitiba,indigena,suplente,,,14466.0
446,2020,eleicao ordinaria,MS,5003504,98051,701050.0,120000870323,19111,Aldicéia Hilton Gonçalves,Aldicéia,19,PODE,vereador,deferido com recurso,outros,1989-06-28,31,feminino,ensino fundamental completo,solteiro(a),brasileira,MS,Douradina,indigena,nao eleito,250.0,,
447,2020,eleicao ordinaria,AM,1303007,2631,702727.0,40001054156,10678,Guilherme Txehkeku,Guilherme Hixkaryana,10,REPUBLICANOS,vereador,deferido,servidor publico municipal,1984-09-01,36,masculino,ensino superior completo,solteiro(a),brasileira,AM,Nhamundá,indigena,eleito por qp,1927.5,,
448,2020,eleicao ordinaria,AM,1303502,2712,703019.0,40000753428,65777,Elyseu Avelino Dos Santos Apurina,Dr Delson,65,PC do B,vereador,deferido,medico,1983-02-20,38,masculino,ensino superior completo,solteiro(a),brasileira,AM,Pauini,indigena,suplente,500.0,,
449,2020,eleicao ordinaria,PR,4117057,74586,704181.0,160001175516,13110,Lucas Vankog Tavares,Luquinha Do Pt,13,PT,vereador,deferido,professor de ensino fundamental,1985-12-02,35,masculino,ensino medio completo,solteiro(a),brasileira,PR,Laranjeiras Do Sul,indigena,suplente,1550.0,,
450,2020,eleicao ordinaria,PA,1502764,4529,705736.0,140000863451,15777,Ngonhte Kayapo,Moite Kayapo,15,MDB,vereador,deferido,agricultor,1979-03-12,42,masculino,ensino fundamental incompleto,solteiro(a),brasileira,PA,Cumaru Do Norte,indigena,suplente,,,
451,2020,eleicao ordinaria,MS,5003157,98590,707829.0,120001087776,55000,Ursula Velasque,Professora Ursula,55,PSD,vereador,deferido,professor de ensino fundamental,1986-04-13,34,feminino,ensino superior completo,solteiro(a),brasileira,MS,Coronel Sapucaia,indigena,suplente,,,6200.0
452,2020,eleicao ordinaria,RR,1400175,3069,708968.0,230000741653,18181,Aldenicia Cadete De Lima,Professora Aldenicia Wapichana,18,REDE,vereador,deferido,professor de ensino fundamental,1984-06-14,36,feminino,ensino superior completo,solteiro(a),brasileira,RR,Boa Vista,indigena,nao eleito,,,28560.0
453,2020,eleicao ordinaria,PI,2206407,11274,709151.0,180000764476,65554,Maria De Jesus De Santana Celestino,Jesus Celestino,65,PC do B,vereador,deferido,servidor publico municipal,1980-05-03,40,feminino,ensino medio completo,solteiro(a),brasileira,PI,Monsenhor Gil,indigena,suplente,,,1728.0
454,2020,eleicao ordinaria,MS,5005806,91154,712522.0,120001014110,13111,Sergio Marques,Sergio Terena,13,PT,vereador,deferido,tecnico em agronomia e agrimensura,1975-09-03,45,masculino,ensino medio completo,casado(a),brasileira,MS,Nioaque,indigena,eleito por qp,4520.0,,2550.0
